filename,dec_inputs,dec_outputs
Data1_1_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data1_2_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data1_3_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data1_4_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data1_5_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data1_6_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data1_7_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data1_8_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data1_9_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data1_10_Raw_0_0,S turn on bluetooth,turn on bluetooth E
Data2_1_Raw_0_0,S speak louder,speak louder E
Data2_2_Raw_0_0,S speak louder,speak louder E
Data2_3_Raw_0_0,S speak louder,speak louder E
Data2_4_Raw_0_0,S speak louder,speak louder E
Data2_5_Raw_0_0,S speak louder,speak louder E
Data2_6_Raw_0_0,S speak louder,speak louder E
Data2_7_Raw_0_0,S speak louder,speak louder E
Data2_8_Raw_0_0,S speak louder,speak louder E
Data2_9_Raw_0_0,S speak louder,speak louder E
Data2_10_Raw_0_0,S speak louder,speak louder E
Data3_1_Raw_0_0,S keep your voice down,keep your voice down E
Data3_2_Raw_0_0,S keep your voice down,keep your voice down E
Data3_3_Raw_0_0,S keep your voice down,keep your voice down E
Data3_4_Raw_0_0,S keep your voice down,keep your voice down E
Data3_5_Raw_0_0,S keep your voice down,keep your voice down E
Data3_6_Raw_0_0,S keep your voice down,keep your voice down E
Data3_7_Raw_0_0,S keep your voice down,keep your voice down E
Data3_8_Raw_0_0,S keep your voice down,keep your voice down E
Data3_9_Raw_0_0,S keep your voice down,keep your voice down E
Data3_10_Raw_0_0,S keep your voice down,keep your voice down E
Data4_1_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data4_2_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data4_3_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data4_4_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data4_5_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data4_6_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data4_7_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data4_8_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data4_9_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data4_10_Raw_0_0,S turn the volume to fifty,turn the volume to fifty E
Data5_1_Raw_0_0,S the next song,the next song E
Data5_2_Raw_0_0,S the next song,the next song E
Data5_3_Raw_0_0,S the next song,the next song E
Data5_4_Raw_0_0,S the next song,the next song E
Data5_5_Raw_0_0,S the next song,the next song E
Data5_6_Raw_0_0,S the next song,the next song E
Data5_7_Raw_0_0,S the next song,the next song E
Data5_8_Raw_0_0,S the next song,the next song E
Data5_9_Raw_0_0,S the next song,the next song E
Data5_10_Raw_0_0,S the next song,the next song E
Data6_1_Raw_0_0,S change to another song,change to another song E
Data6_2_Raw_0_0,S change to another song,change to another song E
